Rep,Ensemble-NLL,Ensemble-MSE,Sigma-NLL,Sigma-MSE,HydraNet-NLL,HydraNet-MSE,HydraNet-Sigma-NLL,HydraNet-Sigma-MSE
19,2.3407075551060896,1.7358454081877586,3.181435571517312,17.231357514643413,20.987354131279353,10.8544592299163,1.524547186103218,3.579408665985355
20,1.6986146997227933,2.5737094011966724,2.0497884016109014,2.25579773333183,13.708518089550182,12.111991967717188,1.560217968372256,2.5577050474946974
21,1.2681886807107425,1.7877016058732085,4.400305893787679,30.688556624814563,21.317152468503604,8.911304764887248,1.368547064585078,1.2037418554977837
22,1.7120433140991123,1.9557964618266093,3.431661713511699,9.397977410288775,8.590730152444053,14.85449312441958,inf,8.282349874135384
23,1.6862940612321575,7.169662829220564,2.462856277872433,14.778105993733334,40.99888482418085,32.751323908901256,inf,29.976938260503836
24,1.251232073091106,1.58361275151088,2.886599466628424,6.380083545332614,24.799275797348304,9.311760517830134,1.6519136688226643,1.0705035440272501
25,1.5301236845509822,1.990083392612116,2.8518233839203813,2.9654687816385876,7.053288560641391,4.987670621859394,1.4824209159206794,4.234365075705053
26,1.352833812068649,2.451732692450591,3.868910092255439,46.30846723177524,30.712745013479733,11.953684558068117,1.8222482627310095,10.880399265103375
27,1.6294763531053922,1.8794688292177932,2.030048049954122,4.578847541319211,33.38447813691249,8.85359956310336,1.5457437490704877,0.9676450056438247
28,1.3473952310031836,1.7719548843500024,2.277140048513944,28.487438295345942,8.150393301581069,2.149312959004115,1.9452995978997827,13.673274341137528
29,1.6410850720547336,3.819271869826187,3.189395100385087,13.098756210855615,57.27552911341426,8.129940189930277,1.6887554778369844,8.010950190803724
30,1.469845360320426,1.9738784838768546,2.6077437197578393,21.73424645714087,24.498789480818164,8.244251854280932,1.488357060390399,1.6974867506982372
31,1.7811937963192384,9.133583529060449,2.628917281207393,11.683287055854228,9.179364850853556,20.852803141360937,1.8202826737366298,10.24474024613027
32,1.9100050318747008,6.963409645069405,2.990314202591165,16.207927798954465,10.674484359935914,18.354917171360857,1.9142876313282202,10.0797270622612
33,1.6172597530007946,9.108380735306676,2.916965445740321,1.1187706266074953,15.07333357465882,21.235388849113807,1.8291840064326363,6.153263628848042
34,1.5383248192347136,1.870543719128581,2.062399449104252,10.15386687020218,9.901712061575715,10.768568501934356,1.7101650733414357,2.3434546216107908
